feature,coefficient,importance,direction,importance_rank
deaths_P7,-0.0280055117309308,0.0280055117309308,Red-favored,89
Lane_P4_SUPPORT,0.027515256383676856,0.027515256383676856,Blue-favored,90
assists_P9,0.026833316731453043,0.026833316731453043,Blue-favored,91
MinionsKilled_P10,0.026464297910886992,0.026464297910886992,Blue-favored,92
assists_P1,0.02469510975451234,0.02469510975451234,Blue-favored,93
Lane_P7_BOTTOM,-0.02363392077327179,0.02363392077327179,Red-favored,94
Lane_P10_BOTTOM,0.02268001546138516,0.02268001546138516,Blue-favored,95
kills_P6,-0.022662334646999883,0.022662334646999883,Red-favored,96
Lane_P5_BOTTOM,-0.021759135402503054,0.021759135402503054,Red-favored,97
ChampionFk_P8,0.02158873453333565,0.02158873453333565,Blue-favored,98
PrimaryKeyStone_P7,0.021573835721629443,0.021573835721629443,Blue-favored,99
Lane_P8_BOTTOM,-0.02126400114118197,0.02126400114118197,Red-favored,100
DmgTaken_P2,0.020996391367701678,0.020996391367701678,Blue-favored,101
SummonerSpell2_P3,0.020992747775919977,0.020992747775919977,Blue-favored,102
RedKills,-0.019505383840708924,0.019505383840708924,Red-favored,103
Lane_P10_SUPPORT,-0.018212281246471767,0.018212281246471767,Red-favored,104
Lane_P9_JUNGLE,0.01810304608334157,0.01810304608334157,Blue-favored,105
Lane_P6_MIDDLE,0.01755897707057641,0.01755897707057641,Blue-favored,106
MinionsKilled_P5,-0.01732136660072296,0.01732136660072296,Red-favored,107
DmgTaken_P8,0.016968046357054473,0.016968046357054473,Blue-favored,108
QueueType_SWIFTPLAY,-0.01677370366855643,0.01677370366855643,Red-favored,109
Lane_P8_SUPPORT,0.016286321031652944,0.016286321031652944,Blue-favored,110
Lane_P1_MIDDLE,0.016208275076503038,0.016208275076503038,Blue-favored,111
Lane_P5_JUNGLE,0.016007562917812974,0.016007562917812974,Blue-favored,112
DmgDealt_P1,0.014649583254317332,0.014649583254317332,Blue-favored,113
ChampionFk_P5,-0.014558230897517664,0.014558230897517664,Red-favored,114
ChampionFk_P2,0.014544547707775145,0.014544547707775145,Blue-favored,115
Lane_P9_BOTTOM,0.01437769784764496,0.01437769784764496,Blue-favored,116
ChampionFk_P7,0.014287880512814032,0.014287880512814032,Blue-favored,117
kills_P5,0.014286345609918266,0.014286345609918266,Blue-favored,118
Lane_P6_TOP,-0.013872959179332811,0.013872959179332811,Red-favored,119
Lane_P8_JUNGLE,0.01316782850893226,0.01316782850893226,Blue-favored,120
Lane_P3_JUNGLE,-0.012488889384882757,0.012488889384882757,Red-favored,121
Lane_P3_TOP,0.012328700035550484,0.012328700035550484,Blue-favored,122
Lane_P5_TOP,-0.012046901234313559,0.012046901234313559,Red-favored,123
Lane_P2_SUPPORT,0.012019131059615627,0.012019131059615627,Blue-favored,124
Lane_P8_TOP,-0.01146143744337485,0.01146143744337485,Red-favored,125
Lane_P6_BOTTOM,-0.011387189831832782,0.011387189831832782,Red-favored,126
Lane_P7_MIDDLE,0.010989460585876588,0.010989460585876588,Blue-favored,127
kills_P3,0.010942976646469168,0.010942976646469168,Blue-favored,128
DmgTaken_P5,-0.010936881099033196,0.010936881099033196,Red-favored,129
Lane_P9_TOP,-0.009542220029571035,0.009542220029571035,Red-favored,130
Lane_P2_JUNGLE,0.009153327068383175,0.009153327068383175,Blue-favored,131
Lane_P5_SUPPORT,0.009078018578512419,0.009078018578512419,Blue-favored,132
PrimaryKeyStone_P6,0.008945792687166101,0.008945792687166101,Blue-favored,133
ChampionFk_P6,0.008728799063333187,0.008728799063333187,Blue-favored,134
Lane_P3_BOTTOM,0.008390604162377514,0.008390604162377514,Blue-favored,135
Lane_P7_JUNGLE,0.007778907458464217,0.007778907458464217,Blue-favored,136
assists_P5,0.007324461051989216,0.007324461051989216,Blue-favored,137
Lane_P1_SUPPORT,-0.007274302631715632,0.007274302631715632,Red-favored,138
DmgTaken_P3,0.007198080464041051,0.007198080464041051,Blue-favored,139
Lane_P9_MIDDLE,-0.007171093576985286,0.007171093576985286,Red-favored,140
Lane_P7_TOP,-0.006648461398239209,0.006648461398239209,Red-favored,141
assists_P3,-0.005570544109727966,0.005570544109727966,Red-favored,142
Lane_P6_JUNGLE,0.005413337383677079,0.005413337383677079,Blue-favored,143
SummonerSpell2_P5,0.005201249885958995,0.005201249885958995,Blue-favored,144
QueueType_CLASSIC,0.004915851324012784,0.004915851324012784,Blue-favored,145
Lane_P3_SUPPORT,-0.00485650182847292,0.00485650182847292,Red-favored,146
deaths_P10,0.0048129790834121515,0.0048129790834121515,Blue-favored,147
assists_P6,0.0047773473083033945,0.0047773473083033945,Blue-favored,148
assists_P4,-0.004021897795976909,0.004021897795976909,Red-favored,149
Lane_P1_TOP,0.003986729701944183,0.003986729701944183,Blue-favored,150
QueueType_URF,0.003787400285377559,0.003787400285377559,Blue-favored,151
deaths_P4,0.003527807883585649,0.003527807883585649,Blue-favored,152
Lane_P8_MIDDLE,0.0032718013368956776,0.0032718013368956776,Blue-favored,153
Lane_P7_SUPPORT,0.003216559595345006,0.003216559595345006,Blue-favored,154
kills_P1,0.003093840751739208,0.003093840751739208,Blue-favored,155
deaths_P3,-0.0028916849598969434,0.0028916849598969434,Red-favored,156
DmgTaken_P10,0.002614389394924533,0.002614389394924533,Blue-favored,157
deaths_P5,0.0023608018277995226,0.0023608018277995226,Blue-favored,158
Lane_P10_JUNGLE,0.0018297737706565993,0.0018297737706565993,Blue-favored,159
Lane_P1_JUNGLE,0.0017967812601642622,0.0017967812601642622,Blue-favored,160
Lane_P4_BOTTOM,-0.0017778324674059388,0.0017778324674059388,Red-favored,161
Lane_P2_BOTTOM,0.0016302284161166007,0.0016302284161166007,Blue-favored,162
