row_index,Model,Actual,Prob_Blue,Pred_0_50
3489,CatBoost,0,0.4403408926236995,0
69000,CatBoost,0,0.4150675383430849,0
1088,CatBoost,1,0.6666909932469349,1
56643,CatBoost,1,0.8123480351497557,1
46606,CatBoost,0,0.21574364942654323,0
71198,CatBoost,1,0.770623284810947,1
75704,CatBoost,0,0.2933391371838133,0
71862,CatBoost,0,0.4090570958274033,0
72192,CatBoost,1,0.54202847321871,1
40641,CatBoost,1,0.6933371469557684,1
30801,CatBoost,1,0.634079290446887,1
87112,CatBoost,0,0.5818437142291425,1
63540,CatBoost,0,0.24254251129587476,0
76324,CatBoost,1,0.5389336036385419,1
51535,CatBoost,1,0.17765472874815744,0
14599,CatBoost,1,0.6468056451097021,1
28593,CatBoost,1,0.9184680304405474,1
24475,CatBoost,1,0.4899795544870065,0
83933,CatBoost,1,0.9320948394864892,1
34627,CatBoost,1,0.9460925423035325,1
49880,CatBoost,1,0.6335034461595255,1
84127,CatBoost,0,0.10440659943408581,0
79325,CatBoost,0,0.3267233916405822,0
57335,CatBoost,0,0.15326155697093868,0
53019,CatBoost,1,0.8292967728555939,1
27416,CatBoost,1,0.2751797601552423,0
44277,CatBoost,0,0.08208830230806514,0
43030,CatBoost,1,0.31825566177951586,0
70786,CatBoost,1,0.7261140822441844,1
50837,CatBoost,0,0.1304578052892229,0
83212,CatBoost,0,0.40877956388529985,0
73753,CatBoost,1,0.8619310034725887,1
29351,CatBoost,0,0.22033420916913934,0
31885,CatBoost,0,0.7491221589091357,1
28420,CatBoost,0,0.4922866692564572,0
12096,CatBoost,1,0.6727942812755044,1
13700,CatBoost,0,0.12557292922934798,0
9244,CatBoost,0,0.6329673253507051,1
17769,CatBoost,0,0.31621934106653005,0
47973,CatBoost,1,0.6926087154927527,1
14729,CatBoost,0,0.6733341272635412,1
7417,CatBoost,0,0.14002837904450285,0
76037,CatBoost,1,0.6157510088209637,1
56427,CatBoost,1,0.4645901184839945,0
46690,CatBoost,0,0.1250666936914703,0
75032,CatBoost,1,0.9183456768051108,1
42875,CatBoost,0,0.5684271610453656,1
54495,CatBoost,1,0.9168291875729562,1
58176,CatBoost,1,0.9427981625826339,1
45508,CatBoost,0,0.015091293037526567,0
5056,CatBoost,0,0.6013400615366593,1
51218,CatBoost,0,0.7752458956288536,1
1465,CatBoost,1,0.057349305465946826,0
54629,CatBoost,0,0.506833593190121,1
72909,CatBoost,1,0.8097585421624919,1
68331,CatBoost,1,0.6369625345119558,1
28998,CatBoost,0,0.5107835204329116,1
7071,CatBoost,1,0.45040227915741354,0
