Model,FPR,TPR,Threshold
CatBoost,0.016924423694193173,0.24693698949824971,0.8175787424674007
CatBoost,0.01707032389845346,0.24693698949824971,0.8175572558062797
CatBoost,0.01707032389845346,0.2470828471411902,0.8174469391020542
CatBoost,0.017216224102713742,0.2470828471411902,0.8171827310655582
CatBoost,0.017216224102713742,0.24912485414235705,0.8157498401633492
CatBoost,0.01736212430697403,0.24912485414235705,0.8157317786885513
CatBoost,0.01736212430697403,0.24985414235705952,0.8151811321565733
CatBoost,0.017508024511234316,0.24985414235705952,0.8151542192648678
CatBoost,0.017508024511234316,0.25058343057176197,0.8147770164771377
CatBoost,0.017653924715494602,0.25058343057176197,0.8146779669297112
CatBoost,0.017653924715494602,0.2516044340723454,0.8139720836200584
CatBoost,0.01779982491975489,0.2516044340723454,0.8139523434853876
CatBoost,0.01779982491975489,0.2517502917152859,0.8139218352693818
CatBoost,0.017945725124015172,0.2517502917152859,0.8139089404375591
CatBoost,0.017945725124015172,0.25204200700116686,0.8138957427844785
CatBoost,0.01809162532827546,0.25204200700116686,0.8137463752499541
CatBoost,0.01809162532827546,0.25233372228704787,0.8133754841265793
CatBoost,0.018237525532535746,0.25233372228704787,0.813299961200903
CatBoost,0.018237525532535746,0.2524795799299883,0.8129153521274521
CatBoost,0.018383425736796032,0.2524795799299883,0.8128062571956287
CatBoost,0.018383425736796032,0.2542298716452742,0.8113907486443412
CatBoost,0.01852932594105632,0.2542298716452742,0.8112414396121654
CatBoost,0.01852932594105632,0.2548133022170362,0.8111091821183211
CatBoost,0.018675226145316602,0.2548133022170362,0.8110967882763852
CatBoost,0.018675226145316602,0.25525087514585765,0.8109033881229645
CatBoost,0.01882112634957689,0.25525087514585765,0.8107921619935462
CatBoost,0.01882112634957689,0.2558343057176196,0.8106071781061184
CatBoost,0.018967026553837175,0.2558343057176196,0.8105889075410746
CatBoost,0.018967026553837175,0.25773045507584597,0.8097175891626228
CatBoost,0.019112926758097462,0.25773045507584597,0.8096941599467061
CatBoost,0.019112926758097462,0.2602100350058343,0.8085347548528005
CatBoost,0.019404727166618032,0.2602100350058343,0.8083086451640261
CatBoost,0.019404727166618032,0.2605017502917153,0.8082630812805927
CatBoost,0.01955062737087832,0.2605017502917153,0.808156245782282
CatBoost,0.01955062737087832,0.26093932322053676,0.8077990654684737
CatBoost,0.019696527575138605,0.26093932322053676,0.8076029726809328
CatBoost,0.019696527575138605,0.26108518086347726,0.8073790654274017
CatBoost,0.019842427779398892,0.26108518086347726,0.8072800523374716
CatBoost,0.019842427779398892,0.2621061843640607,0.8067552047168131
CatBoost,0.01998832798365918,0.2621061843640607,0.8066540031620547
CatBoost,0.01998832798365918,0.26225204200700114,0.8066384647351457
CatBoost,0.020134228187919462,0.26225204200700114,0.8066112558150604
CatBoost,0.020134228187919462,0.2637106184364061,0.8054734723782523
CatBoost,0.02028012839217975,0.2637106184364061,0.8054098536771518
CatBoost,0.02028012839217975,0.2644399066511085,0.8048393730382566
CatBoost,0.020426028596440035,0.2644399066511085,0.804643461282913
CatBoost,0.020426028596440035,0.264585764294049,0.8046211536945826
CatBoost,0.02086372920922089,0.264585764294049,0.8042191705566615
CatBoost,0.02086372920922089,0.265169194865811,0.8037110538796933
CatBoost,0.02100962941348118,0.265169194865811,0.8036886633523208
CatBoost,0.02100962941348118,0.2653150525087515,0.8036726986443501
CatBoost,0.021155529617741465,0.2653150525087515,0.8036475345810004
CatBoost,0.021155529617741465,0.2663360560093349,0.8032596794922365
CatBoost,0.021447330026262038,0.2663360560093349,0.8031944251720696
CatBoost,0.021447330026262038,0.26808634772462075,0.8025012586463375
CatBoost,0.021739130434782608,0.26808634772462075,0.8024301197971042
CatBoost,0.021739130434782608,0.26823220536756126,0.802356374736203
CatBoost,0.021885030639042895,0.26823220536756126,0.8023551307075293
CatBoost,0.021885030639042895,0.26837806301050177,0.8021857761093752
CatBoost,0.02203093084330318,0.26837806301050177,0.8021136931648474
CatBoost,0.02203093084330318,0.2688156359393232,0.8020177456167065
CatBoost,0.022176831047563468,0.2688156359393232,0.8019141701927649
CatBoost,0.022176831047563468,0.26896149358226373,0.80189281220919
CatBoost,0.02232273125182375,0.26896149358226373,0.8017443918409126
CatBoost,0.02232273125182375,0.26969078179696615,0.8013340661596565
CatBoost,0.022468631456084038,0.26969078179696615,0.8013020679671249
CatBoost,0.022468631456084038,0.26983663943990666,0.801293731570425
CatBoost,0.022614531660344325,0.26983663943990666,0.8010282689373817
CatBoost,0.022614531660344325,0.2704200700116686,0.8007515698027913
CatBoost,0.02276043186460461,0.2704200700116686,0.800735589012549
CatBoost,0.02276043186460461,0.27056592765460913,0.8007300894009851
CatBoost,0.022906332068864898,0.27056592765460913,0.8005606646584996
CatBoost,0.022906332068864898,0.27129521586931155,0.8002557889432623
CatBoost,0.02305223227312518,0.27129521586931155,0.8002140015599759
CatBoost,0.02305223227312518,0.2718786464410735,0.7998353578512872
CatBoost,0.023344032681645754,0.2718786464410735,0.7997128681346534
CatBoost,0.023344032681645754,0.272316219369895,0.7992530236549011
CatBoost,0.02348993288590604,0.272316219369895,0.799249147162624
CatBoost,0.02348993288590604,0.2724620770128355,0.7992450399098581
CatBoost,0.023635833090166328,0.2724620770128355,0.7990254997410812
CatBoost,0.023635833090166328,0.272607934655776,0.7989942774485249
CatBoost,0.02378173329442661,0.272607934655776,0.798892355739473
CatBoost,0.02378173329442661,0.27377479579929986,0.7983275123743372
CatBoost,0.023927633498686898,0.27377479579929986,0.7981450354627462
CatBoost,0.023927633498686898,0.2750875145857643,0.7972983543527358
CatBoost,0.024073533702947184,0.2750875145857643,0.7972683241171512
CatBoost,0.024073533702947184,0.27552508751458576,0.7969936587988277
CatBoost,0.02421943390720747,0.27552508751458576,0.7966550149377006
CatBoost,0.02421943390720747,0.2758168028004667,0.7964628220338527
CatBoost,0.024365334111467758,0.2758168028004667,0.796436052755541
CatBoost,0.024365334111467758,0.27610851808634773,0.7964010235413909
CatBoost,0.02451123431572804,0.27610851808634773,0.7963785543911674
CatBoost,0.02451123431572804,0.27625437572928824,0.7963735363291374
CatBoost,0.024657134519988327,0.27625437572928824,0.7963383326503055
CatBoost,0.024657134519988327,0.2766919486581097,0.7961008671477462
CatBoost,0.024803034724248614,0.2766919486581097,0.7960613638501148
CatBoost,0.024803034724248614,0.27712952158693116,0.7959059234720625
CatBoost,0.0249489349285089,0.27712952158693116,0.7957087239836184
CatBoost,0.0249489349285089,0.27727537922987167,0.7956693378922102
CatBoost,0.025094835132769187,0.27727537922987167,0.7954217513605125
CatBoost,0.025094835132769187,0.279463243873979,0.7945903341491097
CatBoost,0.02524073533702947,0.279463243873979,0.7945767551752754
CatBoost,0.02524073533702947,0.28004667444574094,0.7940421302933487
CatBoost,0.025532535745550044,0.28004667444574094,0.7938511805178299
CatBoost,0.025532535745550044,0.28019253208868145,0.7938413246390691
CatBoost,0.02567843594981033,0.28019253208868145,0.7938097409828433
CatBoost,0.02567843594981033,0.2807759626604434,0.7936673561077983
CatBoost,0.026116136562591187,0.2807759626604434,0.7935362487887798
CatBoost,0.026116136562591187,0.2813593932322054,0.7932374958893453
CatBoost,0.026553837175372047,0.2813593932322054,0.7930184461473203
CatBoost,0.026553837175372047,0.2829638273045508,0.7919708317779027
CatBoost,0.02669973737963233,0.2829638273045508,0.7919003540806239
CatBoost,0.02669973737963233,0.2838389731621937,0.7917412337573679
CatBoost,0.026845637583892617,0.2838389731621937,0.7917312073668495
CatBoost,0.026845637583892617,0.28456826137689617,0.7913124542698312
CatBoost,0.026991537788152904,0.28456826137689617,0.7913053290338389
CatBoost,0.026991537788152904,0.2847141190198366,0.7910629117813988
CatBoost,0.027283338196673477,0.2847141190198366,0.7909221035044383
CatBoost,0.027283338196673477,0.2848599766627771,0.7908542016555222
CatBoost,0.02742923840093376,0.2848599766627771,0.7908249000798175
CatBoost,0.02742923840093376,0.2854434072345391,0.7904845354583107
CatBoost,0.027575138605194047,0.2854434072345391,0.7903754735530788
CatBoost,0.027575138605194047,0.286318553092182,0.789861805831483
CatBoost,0.027721038809454333,0.286318553092182,0.7897812464740351
