Model,Threshold,Accuracy,F1,Precision,Recall
CatBoost,0.69,0.6770240700218818,0.5728342658691877,0.8458689458689459,0.4330513418903151
CatBoost,0.7,0.6730853391684901,0.5607604860838886,0.8545400238948626,0.41729871645274214
CatBoost,0.71,0.6698030634573304,0.549597055019401,0.8644757433489828,0.40285880980163363
CatBoost,0.72,0.6652078774617067,0.5359886777193692,0.8731884057971014,0.38666861143523923
CatBoost,0.73,0.6604668125455871,0.5225151297568982,0.8804009678534394,0.37149941656942825
CatBoost,0.74,0.6561633843909556,0.50997920997921,0.8874819102749638,0.35778879813302217
CatBoost,0.7499999999999999,0.6511305616338439,0.49541090832366286,0.8951582157834541,0.3424737456242707
CatBoost,0.7599999999999999,0.6464624361779723,0.48210278875948287,0.9013184178985217,0.3290548424737456
CatBoost,0.7699999999999999,0.6407731582786287,0.4670490206687588,0.9048218029350105,0.3147607934655776
CatBoost,0.7799999999999999,0.6341356673960613,0.4495171202809482,0.9078014184397163,0.29871645274212366
CatBoost,0.7899999999999999,0.6288840262582057,0.43416370106761565,0.9138576779026217,0.2847141190198366
CatBoost,0.7999999999999999,0.624288840262582,0.4197363974315647,0.9218208807521029,0.271732788798133
CatBoost,0.8099999999999999,0.6190371991247264,0.4038351786325762,0.9286089238845144,0.258022170361727
CatBoost,0.82,0.612983223924143,0.3855951829550718,0.9353932584269663,0.24285297549591597
CatBoost,0.83,0.6079504011670314,0.3692054923131088,0.9447447447447448,0.2294340723453909
CatBoost,0.84,0.6025528811086798,0.35184964910193883,0.9535783365570599,0.21572345390898484
CatBoost,0.8499999999999999,0.5972283005105762,0.3354993983152828,0.9587345254470426,0.20332555425904317
CatBoost,0.8599999999999999,0.5902261123267688,0.31454367984382625,0.9619402985074627,0.18801050175029171
CatBoost,0.8699999999999999,0.5838803792851933,0.29454680351180906,0.9675060926076361,0.1737164527421237
CatBoost,0.8799999999999999,0.5781911013858497,0.27594841617628646,0.9743589743589743,0.16073512252042008
CatBoost,0.8899999999999999,0.5724288840262582,0.2579746835443038,0.9760536398467433,0.14862893815635939
CatBoost,0.8999999999999999,0.5668125455871627,0.2400511836212412,0.9781021897810219,0.1368144690781797
CatBoost,0.9099999999999999,0.5617067833698031,0.22334238076773943,0.9807037457434733,0.12602100350058343
CatBoost,0.9199999999999999,0.5578409919766594,0.2092355857031046,0.9901234567901235,0.11697782963827305
CatBoost,0.9299999999999999,0.5536834427425237,0.19455048045281031,0.9973009446693657,0.10778879813302217
CatBoost,0.94,0.549744711889132,0.18140830128630156,0.9985401459854014,0.09976662777129522
CatBoost,0.95,0.5448577680525164,0.16488222698072805,1.0,0.08984830805134189
