feature,importance,feature_group,rank
BlueChamp_99,0.00019435117353678512,champion_composition,246
PrimaryKeyStone_P7_8008,0.00019195248846581162,setup_runes_spells,247
PrimaryKeyStone_P3_8008,0.0001901648522271365,setup_runes_spells,248
RedChamp_81,0.0001882439963072129,champion_composition,249
PrimaryKeyStone_P10_8439,0.000187703589471626,setup_runes_spells,250
RedChamp_267,0.00018529144338116742,champion_composition,251
QueueType_CLASSIC,0.00018483283992086675,queue_type,252
PrimaryKeyStone_P8_8010,0.00018341525684410518,setup_runes_spells,253
SummonerSpell1_P7_2201,0.00018312126963614003,setup_runes_spells,254
SummonerSpell1_P1_2201,0.0001815639414726958,setup_runes_spells,255
SummonerSpell1_P6_2202,0.00017974268386562216,setup_runes_spells,256
BlueChamp_157,0.00017694099027335054,champion_composition,257
BlueChamp_222,0.00017681355937399873,champion_composition,258
RedChamp_202,0.00017503477298266514,champion_composition,259
PrimaryKeyStone_P1_8008,0.00017097492530836927,setup_runes_spells,260
SummonerSpell1_P5_3,0.00017087857890670273,setup_runes_spells,261
BlueChamp_901,0.0001707655518600325,champion_composition,262
RedChamp_22,0.00017051915876818604,champion_composition,263
RedChamp_517,0.0001694844976089431,champion_composition,264
RedChamp_901,0.00016817359496651,champion_composition,265
BlueChamp_22,0.00016787265746433935,champion_composition,266
RedChamp_800,0.0001650052712365041,champion_composition,267
SummonerSpell2_P4_2201,0.00016488446012875884,setup_runes_spells,268
RedChamp_157,0.00016363350723903194,champion_composition,269
SummonerSpell2_P4_2202,0.00016357137077947719,setup_runes_spells,270
SummonerSpell2_P10_3,0.00016157044613385264,setup_runes_spells,271
BlueChamp_145,0.0001605970422295322,champion_composition,272
RedChamp_75,0.00015925407293799782,champion_composition,273
RedChamp_86,0.00015914987738517664,champion_composition,274
QueueType_SWIFTPLAY,0.00015808892159761232,queue_type,275
PrimaryKeyStone_P2_9923,0.00015777398761089814,setup_runes_spells,276
PrimaryKeyStone_P8_8008,0.0001568040024575119,setup_runes_spells,277
