row_index,explanation_type,feature,contribution_to_blue_logit,abs_contribution,raw_value,pushes_prediction_toward,tree_global_importance,z_vs_train
2088,tree_important_feature_value,Red_DmgDealt_avg,,0.05143559592463151,13535.8,,0.00837879781691465,6.138779935803701
2088,tree_important_feature_value,Diff_TotalGold,,0.04750427644758243,1658.0,,0.06587563605845399,0.7211205734003092
4131,linear_top_contribution,TotalGold_P1,0.7117498750827667,0.7117498750827667,8599,Blue,,
4131,linear_top_contribution,BlueChamp_75,0.41069197626014586,0.41069197626014586,1,Blue,,
4131,linear_top_contribution,TotalGold_P8,-0.4043297581464704,0.4043297581464704,6975,Red,,
4131,linear_top_contribution,RedChamp_74,0.36263385662795306,0.36263385662795306,1,Blue,,
4131,linear_top_contribution,TotalGold_P7,-0.3527686532472793,0.3527686532472793,8020,Red,,
4131,linear_top_contribution,RedChamp_51,0.34481671632146466,0.34481671632146466,1,Blue,,
4131,linear_top_contribution,Diff_DmgDealt,-0.34347953703068945,0.34347953703068945,-8087,Red,,
4131,linear_top_contribution,Diff_MinionsKilled,0.30293788158479346,0.30293788158479346,51,Blue,,
4131,tree_important_feature_value,Blue_TotalGold_avg,,0.07034917254113134,7341.6,,0.021827003850003922,3.223033863217039
4131,tree_important_feature_value,Blue_TotalGold_sum,,0.06615809474184468,36708.0,,0.020526652076751577,3.2230338632170388
4131,tree_important_feature_value,Red_TotalGold_avg,,0.050462361009593275,7011.0,,0.01705442489298004,2.958901359984566
4131,tree_important_feature_value,Diff_TotalGold,,0.04736247800180176,1653.0,,0.06587563605845399,0.7189680561076511
4131,tree_important_feature_value,Red_TotalGold_sum,,0.04634266910454672,35055.0,,0.015662120316436788,2.9589013599845666
4131,tree_important_feature_value,Diff_MinionsKilled,,0.04011496821947216,51.0,,0.026456908756423463,1.5162379168629312
4131,tree_important_feature_value,Diff_DmgDealt,,0.03415131136758864,-8087.0,,0.021585852383133448,-1.5821154875622827
4131,tree_important_feature_value,TotalGold_P7,,0.026086887737859964,8020.0,,0.006978861902789289,3.7379859497482877
22929,linear_top_contribution,Diff_TotalGold,-0.42697746721937835,0.42697746721937835,-2681,Red,,
22929,linear_top_contribution,TotalGold_P8,-0.3634866798791201,0.3634866798791201,6674,Red,,
22929,linear_top_contribution,TotalGold_P4,0.33150912288149353,0.33150912288149353,7284,Blue,,
22929,linear_top_contribution,RedChamp_236,0.31279086923349764,0.31279086923349764,1,Blue,,
22929,linear_top_contribution,PrimaryKeyStone_P9_8112,0.300988101970523,0.300988101970523,True,Blue,,
22929,linear_top_contribution,BlueChamp_33,0.2898428998134847,0.2898428998134847,1,Blue,,
22929,linear_top_contribution,TotalGold_P1,0.2708100758637664,0.2708100758637664,5677,Blue,,
22929,linear_top_contribution,TotalGold_P7,-0.24804187569358188,0.24804187569358188,6870,Red,,
22929,tree_important_feature_value,Diff_TotalGold,,0.07554841480088687,-2681.0,,0.06587563605845399,-1.1468339331683999
22929,tree_important_feature_value,Blue_TotalGold_avg,,0.05341593870622086,6506.8,,0.021827003850003922,2.4472409989615347
22929,tree_important_feature_value,Red_TotalGold_avg,,0.05097758428919402,7043.0,,0.01705442489298004,2.9891118937805676
22929,tree_important_feature_value,Blue_TotalGold_sum,,0.05023366453364538,32534.0,,0.020526652076751577,2.4472409989615342
22929,tree_important_feature_value,Red_TotalGold_sum,,0.04681583011968348,35215.0,,0.015662120316436788,2.989111893780568
22929,tree_important_feature_value,Diff_kills,,0.026596937258632193,-4.0,,0.03184261815221156,-0.8352622617743184
22929,tree_important_feature_value,TotalGold_P6,,0.02579545070497843,8306.0,,0.007250018745664055,3.5579840011318113
22929,tree_important_feature_value,Diff_deaths,,0.022764316497336803,4.0,,0.02698316502916251,0.8436488630126928
